เลขทะเบียน,ชื่อบริษัทภาษาไทย,ชื่อบริษัทภาษาอังกฤษ,ประกอบธุรกิจ,หมวดธุรกิจ,ที่ตั้ง,สถานะ,วันที่จดทะเบียน,วันที่จดทะเบียน(ชื่อเดือน),ทุนจดทะเบียน,ก่อตั้งโดย,ข้อมูลสำหรับติดต่อ,ข้อมูลสำหรับการติดต่อ,เบอร์โทร,Website,หลักทรัพย์,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่ร้าง,วันที่เลิก,เสร็จชำระบัญชี,เว็บไซต์,พิพากษาล้มละลาย,ศาลสั่งพิทักษ์ทรัพย์,ทะเบียน,จดทะเบียน,ธุรกิจ
'0105523007276,บริษัท ไพโอเนีย ไฮ-เบรด (ไทยแลนด์) จำกัด,"PIONEER HI-BRED (THAILAND) CO., LTD.",ผลิตเมล็ดพันธุ์ข้าวโพดและข้าวฟ่าง จำหน่ายเมล็ดพันธุ์ข้าวโพดและข้าวฟ่าง,การปลูกข้าวโพดที่ใช้เมล็ดแก่,87 อาคารเอ็ม.ไทย ทาวเวอร์ ออลซีซันส์ เพลส ชั้นที่ 6-7 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,ยังดำเนินกิจการอยู่,29/4/2523,29 เมษายน 2523,245000000,"กรรมการ: นายกิตติพงษ์ ลิมปสุรัติ, นางจริยา วุฒิพงศ์วรกิจ, นายพลภัทร เหล่าจรุงเภสัชกร",,False,,,,https://www.dataforthai.com/company/0105523007276/,ดูตำแหน่งงานจาก JOBTOPGUN,,,,,,,,,
'0105539070673,บริษัท ซาคาตะ สยาม ซีด จำกัด,"SAKATA SIAM SEED CO., LTD.",จำหน่ายเมล็ดพันธุ์,การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),260 หมู่ที่ 13 ตำบลโนนท่อน อำเภอเมืองขอนแก่น จ.ขอนแก่น 40000,ยังดำเนินกิจการอยู่,26/6/2539,26 มิถุนายน 2539,162000000,"กรรมการ: นายโยชิฮิโร โอบาทาเกะ, นายเซน ทากามิย่า, นายทองพูน แสนราษฎ์, นายโคอิชิ เดมูระ, นายซึเนะฮิโระ ยาโกชิ, นายอิซาโอะ อิอุชิ",,False,,,,https://www.dataforthai.com/company/0105539070673/,,,,,,,,,,
'0105563169226,บริษัท ทรัพย์ในดิน 666 จำกัด,SUBNAIDIN 666 COMPANY LIMITED,เพาะปลูกผลิตผลทางการเกษตรกรรม,การปลูกข้าวจ้าว,71 อาคารเอจีอาร์ ชั้นที่ 4 ถนนเจริญราษฎร์ แขวงบางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120,ยังดำเนินกิจการอยู่,17/11/2563,17 พฤศจิกายน 2563,100000000,กรรมการ: นางสาวอรวรรณ พัฒนพล,,False,,,,https://www.dataforthai.com/company/0105563169226/,,,,,,,,,,
'0815524000023,บริษัท ไพรสณฑ์ปาล์ม จำกัด,,ประกอบกิจการเกษตรกรรม,การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),141 หมู่ที่ 2 ถนนเพชรเกษม ตำบลอ่าวลึกเหนือ อำเภออ่าวลึก จ.กระบี่ 81110,ยังดำเนินกิจการอยู่,17/9/2524,17 กันยายน 2524,30000000,"กรรมการ: นายบุญส่ง ลีลามั่นคง, นางสุรัตน์ โพธิ์วิจิตร, นายอรรถพล ลีลภัสธนพงษ์, นายผจญ ตรังพาณิชย์, นายปรีชา จารุพานิช, นายสมนึก ลีลาประศาสน์, นายวราวิทย์ ลีลาเลิศแล้ว, นายจีรศักดิ์ คุณรักษ์พงศ์, นายสราวุธ มนต์ภาณีวงศ์, นายชาญวิทย์ มนต์ภาณีวงศ์, นางสว่างจิตร์ ลีลามั่นคง, นายรัฐพล ลีลภัสธนพงษ์",,False,,,,https://www.dataforthai.com/company/0815524000023/,,,,,,,,,,
'0105531018826,บริษัท สหปาล์ม ออยล์ จำกัด,"MORI FOOD PRODUCTS CO., LTD.",การเกษตรกรรมทุกชนิด และการให้บริการ,การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),109 หมู่ที่ 9 ถนนสุวรรณศร ตำบลดงขี้เหล็ก อำเภอเมืองปราจีนบุรี จ.ปราจีนบุรี 25000,ยังดำเนินกิจการอยู่,16/3/2531,16 มีนาคม 2531,150000000,"กรรมการ: นางสาววรรณี จันทร์ไกรวัล, นางณัฐนี ตุ้มทอง, นางสาวลาวัลย์ มานะ",,False,,,,https://www.dataforthai.com/company/0105531018826/,,,,,,,,,,
'0575554001772,บริษัท อนันต์ทรัพย์เพิ่มทวี จำกัด,"ANAN SUP PERM TAWEE CO., LTD.",การปลูกธัญพืช,การปลูกธัญพืช (ยกเว้นข้าวและข้าวโพด),450/23 หมู่ที่ 6 ตำบลริมกก อำเภอเมืองเชียงราย จ.เชียงราย 57100,ยังดำเนินกิจการอยู่,24/11/2554,24 พฤศจิกายน 2554,36000000,กรรมการ: นายณัฐพล ปุสสเทวะ,,False,,,,https://www.dataforthai.com/company/0575554001772/,,,,,,,,,,
'0105531049608,บริษัท ทวีศักดิ์สวนยาง จำกัด,"THAVEESAK LANDING CO., LTD.",การปลูกพืชที่ให้น้ำมัน,การปลูกพืชน้ำมัน (ยกเว้นถั่วเหลือง),97/1 หมู่ที่ 8 ตำบลป่าคลอก อำเภอถลาง จ.ภูเก็ต 83110,ยังดำเนินกิจการอยู่,4/7/2531,4 กรกฎาคม 2531,104000000,"กรรมการ: นายทวีศักดิ์ อภิชาติมณีกุล, นางนภา อภิชาติมณีกุล",,False,,,,https://www.dataforthai.com/company/0105531049608/,,,,,,,,,,
'0835521000081,บริษัท สวนปาล์มสหมิตร จำกัด,"UNITED OIL PALM PLATAION CO.,LTD.",สวนปาล์ม,การปลูกพืชตระกูลถั่ว,20/5 อาคารวงศ์บัณฑิต ห้องเลขที่ 2 บี ถนนโกมารภัจจ์ ตำบลตลาดใหญ่ อำเภอเมืองภูเก็ต จ.ภูเก็ต 83000,ยังดำเนินกิจการอยู่,3/5/2521,3 พฤษภาคม 2521,35000000,"กรรมการ: นายพงษ์ศักดิ์ เกิดวงศ์บัณฑิต, นางมณีรัตน์ อุปัติศฤงศิ์, นางกมลพรรณ พันธุ์โกศล",,False,,,,https://www.dataforthai.com/company/0835521000081/,,,,,,,,,,
'0105555084489,บริษัท สวนปาล์มธรรมชาติ จำกัด,THE NATURAL PLANTATION COMPANY LIMITED,การปลูกพืชให้น้ำมัน,การปลูกพืชน้ำมัน (ยกเว้นถั่วเหลือง),194/16 ซอยภิรมย์ ถนนทรงวาด แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100,ยังดำเนินกิจการอยู่,12/6/2555,12 มิถุนายน 2555,170000000,"กรรมการ: นายไพศาล ควรทรงธรรม, นางสาวพรทิพา ควรทรงธรรม, นายโกวิท ควรทรงธรรม, นางสาวชลธิชา ควรทรงธรรม, นางสาวจินตนา ควรทรงธรรม",,False,,,,https://www.dataforthai.com/company/0105555084489/,,,,,,,,,,
'0105554088421,บริษัท ดินสู่ฟ้า จำกัด,"DINSOOFAH CO.,LTD.",การทำนา ทำสวน ทำไร่ เลี้ยงสัตว์และกิจการคอกปศุสัตว์,การปลูกข้าวจ้าว,4188/1 ถนนดินแดง แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,ยังดำเนินกิจการอยู่,5/7/2554,5 กรกฎาคม 2554,60000000,"กรรมการ: นายธเรศ คีรี, นางยุพดี คีรี, นางสาวธารินทร์ คีรี",,False,,,,https://www.dataforthai.com/company/0105554088421/,,,,,,,,,,
